aganjan_aleksandr.sevastopol Аганян, Александр (Севастополь)
akimov_boris_fermer Акимов, Борис (фермер, кандидат философских наук)
andre_lom Andre Lom
andrievskij_mihail Андриевский, Михаил
antonovskij_roman Антоновский, Роман
antropova_anastasia Антропова, Анастасия
arestovich_alexei Арестович, Алексей
asov_alexandr Асов, Александр
avakov_arsen Аваков, Арсен
babchenko_arkadii Бабченко, Аркадий
bahareva_taisia Бахарева, Таисия
balanduh_oleksandra Баландюх, Олександра
bandourin_vadim Бандурин, Вадим
bandrivskij_nikolaj Бандривский, Николай
barabanova_marjana Барабанова, Марьяна
bavyrin_dmitrii Бавырин, Дмитрий
bbc_news_ukrainian BBC News Ukrainian
belenjuk_zhan Беленюк, Жан
beloglazova_antonina Белоглазова, Антонина
belyy_alex Белый, Алекс
berdnik_miroslava Бердник, Мирослава
beresnev_alendr Береснев, Алендр
berezhnaja_elena Бережная, Елена
bevz_sergii Бевз, Сергій
bieloglazova_antonina Белоглазова, Антонина
bielskaja_elizaveta Бельская, Елизавета
bilchenko_evgenia Бильченко, Евгения
birjukov_jurij Бирюков, Юрий
blazhieva_elena Блажиева, Елена
bogachinskaja_ekaterina.odessa Богачинская, Екатерина (Одесса)
bondarenko_karina Бондаренко, Карина
bordovskaja_anna Бордовская, Анна
bovtruk_vladislav Бовтрук, Владислав
brajtonskii_jurii Брайтонський, Юрій
bratus_natalia Братусь, Наталия
brown_chris Brown, Chris
bryhar_sergej Бригар, Сергей
bulkina_elizaveta Булкина, Елизавета
burdaniy_anatoliy Бурданий, Анатолій
burjak_valerij Буряк, Валерий
buzhanskii_max Бужанский, Максим
bystrjakov_vladimir Быстряков, Владимир
chebodajev_vsevolod Чебодаев, Всеволод
chelysheva_oksana Челышева, Оксана
chemakin_anton Чемакин, Антон
chistopolcev_oleg Чистопольцев, Олег
cholij_bogdan Чолий, Богдан
degtjarev_alexei Дегтярев, Алексей
dejak_taras Деяк, Тарас
divejev_cerkovnyj_aleksej Дивеев-Церковный, Алексей
dnr_dan_news Донецкое Агентво Новостей (ДАН)
dolinskij_eduard Долинский, Эдуард
donosjan_nikolaj Доносян, Николай
dragina_miriam Dragina, Miriam
druzenko_gennadiy Друзенко, Геннадий
dubynjanskii_myhailo Дубинянський, Михайло
dykyj_evgen Дикий, Євген
farion_iryna Фаріон, Ірина
fateev_evgenii Фатеев, Евгений
fb_group.donbass_today_ru Донбасс Сегодня - ФБ Группа
fb_group.pro_movu Про Мову - Группа ФБ
fb_group.story_kiev_ua Киевские Истории
fb_group.ukrainci_25 ФБ Группа Українці 25
fb_katrusja_ukrainka Katrusya Ukrainka
fb_sergii_ivanovich Sergii Ivanovich (FB)
filatov_boris Филатов, Борис
filatova_elena Филатова, Елена
filichkin_sergei Филичкин, Сергей
filinjuk_oleg_vladimirovich Филинюк, Олег Владимирович
foljushnjak_vitalii Фолюшняк, Виталий
gaj_miroslav Гай, Мирослав
galickij_sergej Галицкий, Сергей
ganna_schasna_garus Счасна-Гарус, Ганна
gejman_natalia Гейман, Наталия
gerasymchuk_tanja Gerasymchuk, Tanja
gimmiri_ana Gimmiri, Ana
gladyshev_andrei Гладышев, Андрей
gljancev_anatolii Глянцев, Анатолий
gluzman_semen.psihiatr.dissident Глузман, Семен (Психиатр, Диссидент)
golovko_alexei Головко, Алексей
gonchar_andrej Гончар, Андрей
goncharenko_aleksej Гончаренко, Алексей
gonchukov_arsenii Гончуков, Арсений
gorn_dmitrii Горн, Дмитрий
goruna_stanislav Горуна, Станислав
green_grey.gruppa.ukr Группа Грин-Грей (Украина)
grigoriev_andrei Григорьев, Андрей
guzhva_igor Гужва, Игорь
haperskaja_marina Хаперская, Марина
harchenko_aleksandra Харченко, Александра
harohorina_marina Харохорина, Маргарита
helga_v_topolska Helga V. Topolska
helgiv_oleg Хелгив, Олег
hersonskij_boris Херсонский, Борис
holmogorov_egor Холмогоров, Егор
homichuk_oleksandr Хомичук, Александр
hristenko_oleg Христенко, Олег
husainov_timur Хусаинов, Тимур
hvylja_oksana Хвиля, Оксана
iljenko_filipp Ильенко, Филипп
illa_tria Illa Tria
institut_prosvity Інститут Просвіти
ipf_npu Інженерно-педагогічний факультет НПУ ім. М. Драгоманова
ischenko_rostislav Ищенко, Ростислав
ivano_frankivska_oblastna_klinichna_likarnja Івано-Франківська обласна клінічна лікарня
jacenko_andrej.diezel.gringrey.ukr Яценко, Андрей (Дизель, Грин Грей, Украина)
jakimov_vanja Якимов, Ваня
jakovenko_igor Яковенко, Ігор
jakovlev_vadym Яковлев, Вадим
jarosh_dmitrij Ярош, Дмитрий
jaroslavskij_denis Ярославский, Денис
kajstro_dmitrii Кайстро, Дмитрий
karamazov_oleg Карамазов, Олег
karevin_aleksandr Каревин, Александр
kasatkina_tatjana Касаткина, Татьяна
katrusja_ukrainka Katrusya Ukrainka
kevorkjan_konstantin Кеворкян, Константин
kiev_old_fotos Старі Фотографії - Киевские Истории (ФБ Группа)
kirichenko_sergii Кириченко, Сергей
knjazhickij_nikolaj Княжицкий, Николай
kobyljakov_oleksandr Кобиляков, Олександр
kolokolceva_arina Колокольцева, Арина
kolomiec_jurij Коломієць, Юрій
kondratiev_anatolii Кондратьев, Анатолий
kontorovich_aleksandr Конторович, Александр
korchynska_oksana Корчинська, Оксана
korchynskyi_dmytro Корчинський, Дмитро
kornilov_vladimir Корнилов, Владимир
kotelnikov_konstantin Котельников, Константин
kotsubajlo_dmytro Коцюбайло, Дмитро
kovaljov_andrej Ковалев, Андрей
kovaljov_roman Ковалев, Роман
krasnjaschih_andrii Краснящих, Андрій
krasnova_elena Краснова, Елена
kravchuk_aleksandr Кравчук, Александр
krivda_anna Кривда, Анна
krjukova_svetlana Крюкова, Светлана
kryzhanivska_marichka Крижанівська, Марічка
ksenz_ljudmila Ксенз, Людмила
kuc_galina Куц, Галина
kuchinskij_sergej Кучинский, Сергей
kuchma_aleksej Кучма, Алексей
kudrenko_elena Кудренко, Елена
kuharuk_roman Кухарук, Роман
kurkul_beata Kurkul, Beata
kushnarjev_roman Кушнарев, Роман
kuznecov_alexei Кузнецов, Алексей
kuzubov_dmytro Кузубов, Дмитро
kviatkovskyi_viktor Kviatkovskyi Viktor
lavrova_olga Лаврова, Ольга
lazorkin_vitalij Лазоркин, Виталий
