gazeta.ua        news.ua.gazeta
strana.ua        news.ua.strana
obozrevatel.com  news.ua.obozrevatel
pravda.com.ua    news.ua.pravda
epravda.com.ua   news.ua.pravda
zn.ua            news.ua.zn
day.kiev.ua      news.ua.day_kiev_ua
facebook.com     fb
antifashist.online news.antifashist_online
lenta.ru        news.ru.lenta_ru
fakty.ua        news.ua.fakty
rbc.ru          news.ru.rbc
cbc.ca          news.world.cbc_ca
mykyivregion.com.ua news.ua.mykyivregion
moslenta.ru news.ru.moslenta
mail.ru news.ru.mail_ru
nkj.ru sites.ru.nauka_i_zhizn
lug-info.com news.lnr.lug_info
dan-news.info news.dnr.dan
